City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year,State cod,Adult Obesity %,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels
San Antonio,Texas,65000,Female,6264.0,26928.0,40220.0,53642.0,59934.0,22669.0,42488.0,7613.0,7159.0,11613.0,6597.0,2729.0,28446.0,18247.0,19808.0,14062.0,22745.0,14995.0,18997.0,15110.0,20349.0,13572.0,23239.0,25682.0,17307.0,15342.0,14235.0,14450.0,13769.0,8972.0,11543.0,8434.0,2013,TX,36.1,40.7
Seattle,Washington,63000,Female,2944.0,10812.0,17565.0,24977.0,30249.0,14073.0,27775.0,6437.0,7438.0,14696.0,6358.0,2083.0,12219.0,9567.0,7202.0,5701.0,9693.0,3962.0,6040.0,5477.0,8183.0,3948.0,13046.0,13476.0,10967.0,10274.0,8901.0,10020.0,13796.0,11305.0,18854.0,20590.0,2013,WA,20.0,37.2
Oakland,California,53000,Male,641.0,4418.0,10623.0,13589.0,14187.0,6756.0,15257.0,3146.0,5452.0,10400.0,7843.0,3806.0,4004.0,3958.0,4832.0,4144.0,6385.0,2846.0,5626.0,3409.0,6410.0,2807.0,6237.0,7527.0,5151.0,5299.0,4179.0,4826.0,7372.0,6181.0,7211.0,17181.0,2014,CA,11.5,
San Diego,California,66000,Male,6233.0,22717.0,48367.0,67894.0,68878.0,27727.0,58818.0,8923.0,11494.0,16162.0,11904.0,7497.0,16996.0,12118.0,13189.0,12051.0,15459.0,9425.0,16820.0,15475.0,18136.0,9806.0,21630.0,26445.0,20324.0,19527.0,15797.0,20694.0,26025.0,21797.0,35976.0,72816.0,2014,CA,21.5,
Denver,Colorado,20000,Male,2982.0,12370.0,22166.0,30778.0,29371.0,12441.0,34227.0,5969.0,7490.0,12056.0,7600.0,3486.0,8190.0,5449.0,6159.0,3746.0,9080.0,4235.0,6763.0,4040.0,11533.0,7789.0,13901.0,14209.0,12670.0,14017.0,9709.0,9563.0,13455.0,9962.0,16328.0,28208.0,2014,CO,14.48,
Indianapolis,Indiana,36003,Male,3732.0,15922.0,23426.0,34870.0,36905.0,17090.0,31624.0,7593.0,3817.0,9471.0,6820.0,2872.0,14065.0,8204.0,10664.0,6592.0,13453.0,6043.0,12873.0,7755.0,12928.0,5906.0,16363.0,14164.0,13174.0,14813.0,9624.0,10199.0,15529.0,9463.0,11009.0,14737.0,2014,IN,29.9,
Detroit,Michigan,22000,Male,1223.0,5453.0,10890.0,16594.0,16453.0,6441.0,17894.0,3136.0,4965.0,4874.0,4682.0,3624.0,11822.0,9538.0,8214.0,4909.0,6890.0,4748.0,7957.0,4876.0,7119.0,4367.0,8349.0,7690.0,6216.0,5645.0,3614.0,4353.0,4556.0,2707.0,3979.0,3100.0,2014,MI,27.2,
Las Vegas,Nevada,40000,Male,2710.0,6293.0,14411.0,21394.0,29209.0,14484.0,31211.0,3618.0,3822.0,6450.0,4648.0,3876.0,7858.0,5109.0,6135.0,3789.0,7974.0,5190.0,7507.0,4839.0,9192.0,6357.0,12019.0,12733.0,9890.0,10135.0,7468.0,8018.0,10626.0,7774.0,10464.0,12694.0,2014,NV,32.2,79.3
New York,New York,51000,Male,26332.0,62563.0,108123.0,135586.0,182338.0,76450.0,332867.0,67365.0,143088.0,316783.0,339950.0,134292.0,83189.0,59097.0,73749.0,58226.0,102560.0,57593.0,101024.0,61442.0,113010.0,54020.0,134171.0,129676.0,108048.0,121718.0,75224.0,108305.0,140289.0,110252.0,179713.0,334282.0,2014,NY,22.8,72.1
Charlotte,North Carolina,12000,Male,2872.0,16125.0,23868.0,31967.0,33580.0,16057.0,35302.0,5878.0,9647.0,13701.0,8155.0,3629.0,11896.0,8613.0,7869.0,5491.0,9389.0,4682.0,8547.0,8466.0,12959.0,5143.0,13111.0,16115.0,14469.0,12665.0,8920.0,10885.0,14011.0,9598.0,18956.0,33581.0,2014,NC,26.85,
Columbus,Ohio,18000,Male,3597.0,16660.0,28942.0,43755.0,45849.0,18065.0,29300.0,4972.0,3838.0,6820.0,3492.0,3638.0,13197.0,11557.0,11877.0,8083.0,11262.0,5613.0,8898.0,6771.0,13568.0,5816.0,16564.0,19565.0,15845.0,13057.0,10839.0,13004.0,15906.0,12293.0,17345.0,14086.0,2014,OH,29.4,
Portland,Oregon,59000,Male,2297.0,8838.0,18701.0,29054.0,28652.0,12668.0,25623.0,4912.0,5690.0,11474.0,5469.0,2934.0,10114.0,7052.0,9179.0,5968.0,8810.0,4264.0,9058.0,4927.0,9428.0,5010.0,14587.0,13110.0,8983.0,8802.0,5671.0,7499.0,12473.0,7209.0,14340.0,24494.0,2014,OR,19.7,
Philadelphia,Pennsylvania,60000,Male,3048.0,13352.0,27522.0,28720.0,38763.0,19426.0,59161.0,9524.0,16630.0,38892.0,29360.0,13276.0,23581.0,15978.0,13839.0,9243.0,15360.0,9882.0,14528.0,12892.0,17047.0,9523.0,23072.0,30388.0,16518.0,20667.0,16046.0,19376.0,21167.0,14568.0,23939.0,26612.0,2014,PA,30.0,
San Antonio,Texas,65000,Male,7021.0,26388.0,42332.0,62228.0,66152.0,26443.0,60147.0,7353.0,6451.0,19097.0,12108.0,6636.0,25181.0,15939.0,14807.0,10944.0,21228.0,12151.0,18393.0,12356.0,24698.0,13378.0,29440.0,29479.0,20542.0,21400.0,15651.0,18560.0,20132.0,16267.0,22460.0,30424.0,2014,TX,33.0,
Oakland,California,53000,Female,1251.0,4815.0,10143.0,12363.0,12630.0,3951.0,14839.0,2797.0,4529.0,9476.0,9214.0,2462.0,7838.0,3812.0,5685.0,4958.0,6122.0,2741.0,4277.0,3292.0,5828.0,3340.0,5938.0,5594.0,6759.0,6578.0,4206.0,4588.0,6704.0,4529.0,8008.0,10048.0,2014,CA,28.4,
San Diego,California,66000,Female,3943.0,18759.0,42545.0,54906.0,56241.0,25464.0,44620.0,5323.0,9810.0,11862.0,7642.0,4100.0,21181.0,15538.0,14865.0,15622.0,19072.0,13992.0,15187.0,10159.0,17677.0,8445.0,18348.0,20512.0,16433.0,18294.0,13241.0,15150.0,20611.0,15497.0,26162.0,29559.0,2014,CA,24.4,
Denver,Colorado,20000,Female,3468.0,14483.0,19908.0,24525.0,26584.0,12258.0,22244.0,6025.0,5127.0,8926.0,6933.0,2190.0,9555.0,7751.0,8773.0,7760.0,8571.0,4309.0,9790.0,4419.0,8409.0,5058.0,9209.0,12536.0,12047.0,10720.0,8207.0,8738.0,12201.0,8365.0,12253.0,13662.0,2014,CO,20.59,
Indianapolis,Indiana,36003,Female,3770.0,17398.0,24798.0,36492.0,39174.0,15602.0,29171.0,6103.0,6318.0,7559.0,3362.0,2408.0,16780.0,11744.0,12032.0,9352.0,11777.0,6827.0,11390.0,6876.0,13950.0,6724.0,18024.0,19504.0,15820.0,12901.0,10418.0,10275.0,8405.0,6601.0,8196.0,7250.0,2014,IN,34.6,
Detroit,Michigan,22000,Female,1064.0,7524.0,14127.0,18806.0,23951.0,9778.0,17668.0,3663.0,3005.0,7890.0,5083.0,3040.0,14263.0,8442.0,12735.0,6923.0,11379.0,8841.0,9097.0,5362.0,8461.0,4088.0,12125.0,8283.0,7058.0,5798.0,2907.0,3818.0,4562.0,3517.0,2678.0,1260.0,2014,MI,36.4,
Las Vegas,Nevada,40000,Female,1972.0,10382.0,15119.0,18633.0,24137.0,10468.0,23174.0,2132.0,4559.0,5682.0,3036.0,1556.0,7584.0,7006.0,6905.0,6883.0,9427.0,4119.0,8927.0,3739.0,8797.0,4294.0,10741.0,13158.0,9349.0,9072.0,6002.0,4694.0,7158.0,4025.0,5437.0,4105.0,2014,NV,25.9,74.0
New York,New York,51000,Female,18888.0,56452.0,98671.0,141406.0,169894.0,75292.0,311668.0,66297.0,132989.0,302477.0,326233.0,131103.0,119354.0,77580.0,98647.0,76174.0,121247.0,64297.0,103405.0,62627.0,100172.0,49803.0,123399.0,128985.0,123655.0,120347.0,75164.0,95860.0,132058.0,99229.0,171985.0,193459.0,2014,NY,26.2,66.8
Charlotte,North Carolina,12000,Female,2651.0,15128.0,24025.0,31431.0,32133.0,16832.0,29132.0,6995.0,7188.0,12531.0,6300.0,3243.0,15861.0,11464.0,11253.0,8537.0,14006.0,5671.0,12247.0,9188.0,11327.0,6145.0,13830.0,17000.0,15254.0,10784.0,11933.0,9669.0,10417.0,9173.0,10373.0,13624.0,2014,NC,21.55,
Columbus,Ohio,18000,Female,5399.0,19325.0,31561.0,39619.0,45827.0,20178.0,25922.0,4603.0,3130.0,7684.0,3267.0,1329.0,19237.0,13620.0,13165.0,8895.0,16351.0,7142.0,10909.0,8396.0,13734.0,7195.0,18332.0,18543.0,11915.0,16754.0,10041.0,10883.0,12479.0,8828.0,11589.0,5982.0,2014,OH,40.4,
Portland,Oregon,59000,Female,3437.0,9156.0,18014.0,26096.0,28497.0,11732.0,20640.0,4149.0,5133.0,8650.0,7000.0,2410.0,14198.0,8337.0,9234.0,7747.0,9930.0,5417.0,6427.0,6095.0,8068.0,6431.0,12140.0,13326.0,8767.0,8722.0,8660.0,6796.0,9927.0,7784.0,10711.0,11220.0,2014,OR,25.3,
Philadelphia,Pennsylvania,60000,Female,3024.0,17259.0,25489.0,39429.0,44890.0,21160.0,58160.0,11885.0,20651.0,35517.0,32604.0,12263.0,27132.0,15678.0,22534.0,14053.0,19522.0,13051.0,17998.0,12192.0,19548.0,9802.0,30560.0,31273.0,19707.0,20404.0,17907.0,18787.0,19618.0,13850.0,21117.0,13681.0,2014,PA,36.0,
San Antonio,Texas,65000,Female,4901.0,24902.0,47568.0,58084.0,55234.0,22605.0,42783.0,6352.0,6229.0,13775.0,5892.0,3366.0,26439.0,22978.0,21544.0,14686.0,24780.0,15467.0,22229.0,12904.0,19433.0,12437.0,25438.0,23152.0,15240.0,15016.0,13710.0,13905.0,16893.0,7387.0,11741.0,9333.0,2014,TX,31.1,
Seattle,Washington,63000,Female,1933.0,9312.0,17067.0,22177.0,27395.0,12076.0,30174.0,7170.0,8890.0,14817.0,9911.0,2387.0,14075.0,7170.0,7703.0,6508.0,9077.0,4071.0,8139.0,4853.0,10277.0,6074.0,10856.0,10070.0,10463.0,10557.0,8245.0,10261.0,11961.0,11085.0,17872.0,22602.0,2014,WA,17.1,
San Diego,California,66000,Male,4503.0,23043.0,49141.0,67267.0,69284.0,29793.0,52908.0,7844.0,12231.0,19973.0,9789.0,7380.0,17413.0,12266.0,13161.0,10124.0,18914.0,10017.0,15825.0,13728.0,19766.0,13144.0,21069.0,20990.0,19486.0,20149.0,14685.0,20565.0,27479.0,19137.0,42065.0,70188.0,2015,CA,23.6,49.6
Denver,Colorado,20000,Male,3705.0,12105.0,22872.0,31373.0,31521.0,12202.0,33061.0,6370.0,8495.0,13542.0,7922.0,4359.0,8684.0,5543.0,6037.0,4049.0,9288.0,4027.0,7189.0,3617.0,11867.0,6042.0,13994.0,15008.0,14627.0,13167.0,9808.0,12494.0,12991.0,11948.0,18873.0,31495.0,2015,CO,17.62,61.4
Indianapolis,Indiana,36003,Male,3313.0,14301.0,22639.0,32116.0,40963.0,20283.0,29680.0,5609.0,4161.0,10925.0,5202.0,3122.0,11496.0,7692.0,10131.0,6020.0,10790.0,7003.0,10566.0,6477.0,12768.0,5788.0,14656.0,19265.0,13451.0,13141.0,8310.0,11262.0,13343.0,10631.0,13400.0,15169.0,2015,IN,28.3,35.1
Boston,Massachusetts,7000,Male,2790.0,8986.0,13497.0,19012.0,24148.0,9189.0,34206.0,6125.0,10009.0,21865.0,16770.0,4902.0,13920.0,7150.0,8911.0,5480.0,7170.0,3504.0,6764.0,4097.0,7294.0,2872.0,13041.0,9788.0,7540.0,11650.0,8148.0,9123.0,14861.0,10374.0,19671.0,31148.0,2015,MA,19.2,19.6
Detroit,Michigan,22000,Male,1908.0,7128.0,11735.0,15730.0,17977.0,6660.0,16252.0,1562.0,5201.0,6778.0,4294.0,2815.0,11843.0,7430.0,7875.0,5061.0,10570.0,3360.0,6099.0,3731.0,7419.0,4274.0,10115.0,7871.0,6996.0,5140.0,4144.0,4645.0,5031.0,2520.0,5321.0,3474.0,2015,MI,,25.9
Las Vegas,Nevada,40000,Male,1951.0,7432.0,11974.0,20470.0,28213.0,14573.0,34283.0,4743.0,4438.0,9167.0,4310.0,2639.0,6750.0,3853.0,5985.0,3579.0,6187.0,3842.0,8315.0,5715.0,9890.0,5441.0,12381.0,14408.0,10322.0,10631.0,7921.0,8421.0,9584.0,7536.0,9619.0,14646.0,2015,NV,28.9,79.4
New York,New York,51000,Male,19885.0,62173.0,100052.0,148804.0,192722.0,82964.0,324318.0,73331.0,138247.0,315264.0,376582.0,136038.0,76875.0,55802.0,65373.0,53682.0,97431.0,54762.0,101846.0,63432.0,107465.0,54443.0,131550.0,139009.0,116580.0,118227.0,85339.0,111373.0,146659.0,114676.0,193131.0,355589.0,2015,NY,22.3,
