City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year
Goodyear city, Arizona,28380,Male,28.0,831.0,1469.0,2415.0,1479.0,857.0,3045.0,493.0,838.0,1543.0,617.0,126.0,809.0,207.0,265.0,219.0,752.0,344.0,426.0,369.0,860.0,165.0,733.0,1285.0,621.0,1406.0,477.0,745.0,1036.0,597.0,2215.0,2281.0,2013
Mesa city, Arizona,46000,Male,1271.0,6635.0,10115.0,14909.0,18604.0,9611.0,21699.0,3475.0,3941.0,5561.0,5291.0,2140.0,5979.0,5405.0,5061.0,3150.0,6082.0,1875.0,5512.0,3104.0,7462.0,3345.0,7692.0,8637.0,7252.0,8130.0,5248.0,5996.0,5891.0,6877.0,7554.0,9437.0,2013
Peoria city, Arizona,54050,Male,487.0,1808.0,3572.0,4502.0,4820.0,2355.0,5694.0,1230.0,1787.0,4252.0,2500.0,569.0,1720.0,886.0,1124.0,583.0,2050.0,528.0,1833.0,862.0,1647.0,805.0,3095.0,2944.0,1940.0,2238.0,1306.0,2192.0,2412.0,1676.0,4528.0,5437.0,2013
Phoenix city, Arizona,55000,Male,5674.0,25326.0,44982.0,53423.0,56588.0,24336.0,69513.0,10435.0,14107.0,29277.0,12795.0,5303.0,17800.0,12525.0,16394.0,9113.0,20153.0,12148.0,22515.0,12328.0,28562.0,12883.0,27876.0,29399.0,21692.0,25919.0,12317.0,18515.0,23699.0,17271.0,25042.0,38859.0,2013
San Tan Valley CDP, Arizona,64210,Male,0.0,647.0,410.0,926.0,1120.0,394.0,2854.0,1715.0,1435.0,5290.0,3814.0,465.0,309.0,1325.0,429.0,73.0,784.0,856.0,1353.0,728.0,1833.0,999.0,1759.0,943.0,1480.0,1656.0,658.0,1395.0,1482.0,1223.0,1675.0,1202.0,2013
Scottsdale city, Arizona,65000,Male,1599.0,6596.0,7218.0,8798.0,7392.0,5144.0,8638.0,1374.0,1419.0,2430.0,1024.0,738.0,2430.0,2802.0,2085.0,2201.0,3477.0,724.0,2442.0,1256.0,1742.0,714.0,1458.0,3603.0,3634.0,2204.0,2525.0,3258.0,3647.0,2969.0,6377.0,18149.0,2013
Surprise city, Arizona,71510,Male,517.0,1482.0,2187.0,1322.0,2006.0,910.0,3304.0,916.0,2627.0,3787.0,1945.0,622.0,977.0,984.0,650.0,942.0,980.0,650.0,449.0,527.0,732.0,380.0,1452.0,1579.0,2877.0,1042.0,1561.0,2152.0,2223.0,2389.0,1681.0,1498.0,2013
Tempe city, Arizona,73000,Male,1081.0,4733.0,9522.0,7996.0,9727.0,4878.0,5176.0,1216.0,1253.0,1845.0,1082.0,580.0,3328.0,2376.0,2523.0,1483.0,3304.0,2542.0,2110.0,893.0,4182.0,1571.0,4389.0,3117.0,2934.0,2149.0,2355.0,2387.0,4068.0,2306.0,3731.0,5037.0,2013
Tucson city, Arizona,77000,Male,2312.0,9423.0,19559.0,21969.0,21722.0,8279.0,16024.0,2016.0,3112.0,6509.0,2906.0,2603.0,11805.0,7591.0,8452.0,5823.0,8144.0,5284.0,8470.0,5714.0,9471.0,6274.0,8997.0,9145.0,5179.0,9203.0,4182.0,5054.0,6070.0,4077.0,6819.0,6547.0,2013
Yuma city, Arizona,85540,Male,1417.0,3550.0,5488.0,4338.0,2530.0,1050.0,3158.0,261.0,122.0,299.0,437.0,164.0,1032.0,1579.0,1148.0,725.0,1282.0,988.0,1043.0,855.0,2058.0,1065.0,1967.0,2138.0,1698.0,1787.0,504.0,1339.0,1606.0,580.0,1886.0,1415.0,2013
