City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year
Oshkosh city, Wisconsin,60500,Female,823.0,3497.0,4619.0,3133.0,1316.0,885.0,1367.0,82.0,109.0,193.0,171.0,0.0,1465.0,1453.0,1591.0,573.0,1846.0,1137.0,1157.0,357.0,731.0,715.0,1032.0,1330.0,1204.0,875.0,472.0,524.0,942.0,479.0,547.0,180.0,2013
Racine city, Wisconsin,66000,Female,262.0,2340.0,2839.0,4439.0,3352.0,306.0,1364.0,520.0,189.0,732.0,617.0,448.0,982.0,861.0,1199.0,1687.0,951.0,576.0,1237.0,1062.0,1129.0,1601.0,1041.0,2345.0,679.0,1677.0,527.0,275.0,1164.0,344.0,254.0,202.0,2013
Waukesha city, Wisconsin,84250,Female,438.0,1607.0,3567.0,2920.0,2690.0,1079.0,1705.0,583.0,978.0,921.0,186.0,127.0,1835.0,1094.0,759.0,772.0,994.0,350.0,753.0,661.0,579.0,905.0,1360.0,1347.0,646.0,1466.0,696.0,1350.0,1094.0,974.0,1583.0,291.0,2013
Bayamón zona urbana, Puerto Rico,06593,Female,110.0,1662.0,1583.0,2674.0,3876.0,1732.0,5671.0,733.0,1976.0,3221.0,4790.0,1030.0,2251.0,1995.0,1562.0,2572.0,2041.0,2548.0,3635.0,1925.0,2465.0,2096.0,1721.0,2017.0,2053.0,1093.0,546.0,624.0,824.0,468.0,903.0,207.0,2013
Caguas zona urbana, Puerto Rico,10334,Female,183.0,904.0,1750.0,2275.0,1601.0,264.0,2562.0,127.0,211.0,1475.0,1273.0,286.0,646.0,1147.0,915.0,2129.0,1224.0,1078.0,1031.0,963.0,787.0,898.0,1562.0,896.0,500.0,585.0,229.0,49.0,352.0,464.0,104.0,0.0,2013
Carolina zona urbana, Puerto Rico,14290,Female,294.0,2036.0,1652.0,3167.0,3110.0,915.0,4511.0,1531.0,2300.0,2683.0,3443.0,1269.0,3215.0,1524.0,2583.0,2378.0,1812.0,1815.0,2800.0,1532.0,1917.0,1643.0,3525.0,2236.0,1448.0,859.0,451.0,695.0,648.0,361.0,413.0,539.0,2013
Guaynabo zona urbana, Puerto Rico,32522,Female,325.0,827.0,1628.0,2586.0,3382.0,625.0,2427.0,69.0,346.0,998.0,905.0,696.0,563.0,633.0,788.0,601.0,1150.0,429.0,976.0,767.0,1274.0,572.0,1374.0,848.0,605.0,574.0,368.0,622.0,1385.0,673.0,1178.0,1079.0,2013
Mayagüez zona urbana, Puerto Rico,52431,Female,255.0,599.0,2121.0,1935.0,1480.0,304.0,556.0,234.0,75.0,94.0,430.0,56.0,851.0,679.0,909.0,1707.0,457.0,1354.0,669.0,304.0,338.0,246.0,286.0,303.0,456.0,0.0,75.0,69.0,83.0,46.0,262.0,44.0,2013
Ponce zona urbana, Puerto Rico,63820,Female,300.0,869.0,2748.0,3958.0,2962.0,1033.0,1490.0,175.0,499.0,540.0,280.0,80.0,900.0,958.0,1402.0,1745.0,766.0,1267.0,1581.0,977.0,1525.0,811.0,849.0,948.0,632.0,550.0,154.0,372.0,310.0,239.0,207.0,94.0,2013
San Juan zona urbana, Puerto Rico,76770,Female,1734.0,3413.0,7116.0,11848.0,12175.0,2546.0,12176.0,782.0,1719.0,3669.0,2395.0,1993.0,4911.0,3614.0,5044.0,5430.0,5394.0,4635.0,5122.0,4199.0,4692.0,3200.0,4123.0,4618.0,2250.0,2686.0,1208.0,1757.0,2027.0,1239.0,2003.0,2170.0,2013
Birmingham city, Alabama,07000,Male,839.0,2885.0,7800.0,8823.0,6624.0,3000.0,5569.0,930.0,634.0,1226.0,1861.0,263.0,4434.0,2808.0,2001.0,1733.0,2735.0,1436.0,3056.0,1172.0,2257.0,2028.0,4460.0,3890.0,1308.0,1506.0,2606.0,1996.0,1490.0,3049.0,1793.0,1596.0,2014
Dothan city, Alabama,21184,Male,244.0,1954.0,2993.0,3313.0,2284.0,561.0,1267.0,258.0,330.0,615.0,188.0,166.0,807.0,467.0,724.0,741.0,854.0,628.0,722.0,482.0,787.0,263.0,1138.0,947.0,885.0,727.0,675.0,983.0,1285.0,769.0,1105.0,1351.0,2014
Hoover city, Alabama,35896,Male,506.0,788.0,2561.0,4368.0,5116.0,2688.0,4458.0,476.0,843.0,651.0,98.0,305.0,669.0,326.0,1179.0,628.0,759.0,1145.0,125.0,344.0,895.0,158.0,2213.0,985.0,1212.0,1286.0,914.0,1269.0,1873.0,919.0,3245.0,5367.0,2014
Huntsville city, Alabama,37000,Male,687.0,4704.0,7366.0,10551.0,9289.0,4648.0,3616.0,516.0,745.0,475.0,261.0,313.0,3535.0,1788.0,2140.0,933.0,3359.0,1348.0,1738.0,1459.0,2329.0,1115.0,2481.0,2715.0,1539.0,1529.0,1019.0,2780.0,2269.0,3019.0,4211.0,8829.0,2014
Mobile city, Alabama,50000,Male,776.0,2813.0,5625.0,7955.0,6072.0,2029.0,5055.0,683.0,680.0,1988.0,1316.0,769.0,2993.0,1479.0,1472.0,1184.0,2772.0,1320.0,1893.0,1571.0,2210.0,740.0,2558.0,3317.0,2201.0,3044.0,1958.0,1867.0,2948.0,1823.0,2794.0,4353.0,2014
Montgomery city, Alabama,51000,Male,936.0,3610.0,7937.0,10032.0,9109.0,2123.0,5665.0,353.0,484.0,842.0,380.0,341.0,2940.0,2760.0,1925.0,1667.0,2448.0,1449.0,1324.0,1530.0,2395.0,886.0,4021.0,3061.0,3853.0,2295.0,2394.0,1720.0,3035.0,2049.0,3724.0,4680.0,2014
Tuscaloosa city, Alabama,77256,Male,96.0,2219.0,2842.0,4690.0,5177.0,1121.0,1073.0,194.0,159.0,782.0,530.0,48.0,2167.0,2452.0,1691.0,515.0,1517.0,826.0,1275.0,391.0,694.0,201.0,1524.0,1478.0,834.0,1045.0,1054.0,464.0,1417.0,668.0,1801.0,2166.0,2014
Anchorage municipality, Alaska,03000,Male,4280.0,12372.0,19190.0,20797.0,12402.0,4026.0,6670.0,769.0,832.0,2917.0,1066.0,1771.0,4467.0,3324.0,1651.0,1200.0,2432.0,1081.0,3277.0,3178.0,4733.0,2940.0,5746.0,5528.0,5433.0,4488.0,4517.0,4287.0,10190.0,7749.0,9904.0,12706.0,2014
Avondale city, Arizona,04720,Male,252.0,1556.0,2268.0,2827.0,3666.0,977.0,2535.0,631.0,1455.0,1392.0,1442.0,270.0,1168.0,775.0,740.0,455.0,1168.0,533.0,766.0,395.0,738.0,550.0,1936.0,1578.0,2066.0,803.0,893.0,1207.0,2052.0,1591.0,976.0,1216.0,2014
Casas Adobes CDP, Arizona,10670,Male,259.0,1932.0,2249.0,2879.0,1702.0,1394.0,2400.0,1181.0,685.0,1600.0,126.0,166.0,1098.0,927.0,984.0,213.0,846.0,298.0,546.0,353.0,1028.0,347.0,1120.0,1701.0,1554.0,1129.0,1086.0,1294.0,1103.0,661.0,1259.0,1989.0,2014
Chandler city, Arizona,12000,Male,948.0,7104.0,11781.0,12339.0,11146.0,4548.0,6907.0,2652.0,2604.0,5208.0,1593.0,588.0,4425.0,3538.0,2826.0,1609.0,3026.0,1347.0,1272.0,1943.0,2491.0,757.0,4048.0,4742.0,3165.0,5221.0,2915.0,5375.0,4791.0,4187.0,7633.0,12592.0,2014
Flagstaff city, Arizona,23620,Male,955.0,3994.0,3862.0,4166.0,1026.0,462.0,543.0,27.0,120.0,379.0,581.0,145.0,2580.0,2143.0,2158.0,497.0,1474.0,577.0,905.0,273.0,1182.0,664.0,1146.0,550.0,808.0,862.0,699.0,692.0,950.0,590.0,1247.0,1634.0,2014
Gilbert town, Arizona,27400,Male,506.0,2291.0,3657.0,7775.0,10433.0,5272.0,9732.0,2245.0,2587.0,5958.0,4002.0,556.0,2616.0,1902.0,1892.0,1164.0,1659.0,837.0,1602.0,1203.0,1982.0,874.0,1785.0,3155.0,3063.0,3281.0,2494.0,3068.0,5306.0,3960.0,9546.0,12341.0,2014
Glendale city, Arizona,27820,Male,570.0,3231.0,4068.0,6999.0,6869.0,4113.0,9642.0,1179.0,2317.0,6625.0,2360.0,1254.0,2897.0,1537.0,2806.0,1476.0,3012.0,1268.0,1898.0,800.0,4384.0,1911.0,3445.0,3883.0,4370.0,3450.0,3347.0,2550.0,4037.0,1988.0,4079.0,4755.0,2014
Goodyear city, Arizona,28380,Male,77.0,536.0,2460.0,2217.0,3235.0,1401.0,1871.0,697.0,1063.0,1524.0,1286.0,427.0,1322.0,401.0,584.0,330.0,290.0,304.0,1124.0,163.0,1369.0,232.0,1566.0,1225.0,844.0,512.0,695.0,736.0,2206.0,1195.0,1839.0,1890.0,2014
Mesa city, Arizona,46000,Male,1477.0,6372.0,12428.0,17809.0,20686.0,6071.0,23429.0,3049.0,3851.0,7915.0,3176.0,868.0,5052.0,3291.0,5020.0,3186.0,5742.0,2035.0,4927.0,3878.0,8213.0,3399.0,9122.0,12467.0,6688.0,7076.0,5238.0,8033.0,6932.0,5138.0,7722.0,10158.0,2014
Peoria city, Arizona,54050,Male,650.0,1768.0,3035.0,2776.0,6646.0,3934.0,6467.0,1967.0,2035.0,4643.0,2938.0,313.0,2454.0,1860.0,1158.0,827.0,1265.0,444.0,1101.0,952.0,1982.0,251.0,1393.0,2256.0,4854.0,2394.0,2273.0,2656.0,2792.0,2217.0,4418.0,5559.0,2014
Phoenix city, Arizona,55000,Male,4979.0,28936.0,48617.0,52568.0,62301.0,28712.0,69738.0,8175.0,14251.0,23882.0,10067.0,5624.0,18497.0,15179.0,14220.0,11680.0,19501.0,11184.0,24049.0,13417.0,25811.0,10750.0,30035.0,33084.0,25397.0,22669.0,15130.0,20085.0,24478.0,16693.0,25748.0,41744.0,2014
San Tan Valley CDP, Arizona,64210,Male,157.0,148.0,1324.0,1455.0,1121.0,871.0,3608.0,578.0,2012.0,2722.0,3375.0,204.0,518.0,461.0,828.0,211.0,427.0,259.0,828.0,312.0,1053.0,515.0,1212.0,1455.0,2104.0,976.0,473.0,1201.0,1571.0,1860.0,2465.0,1822.0,2014
Scottsdale city, Arizona,65000,Male,2225.0,5848.0,6868.0,8936.0,9642.0,4423.0,8589.0,2128.0,3062.0,1835.0,1299.0,338.0,3011.0,1906.0,1382.0,1568.0,2756.0,1896.0,2176.0,1064.0,2138.0,725.0,2787.0,2026.0,3315.0,3295.0,2223.0,2300.0,5113.0,2957.0,6428.0,19539.0,2014
Surprise city, Arizona,71510,Male,461.0,1741.0,2539.0,2052.0,2217.0,1303.0,2907.0,1095.0,2573.0,5242.0,2001.0,538.0,602.0,947.0,840.0,641.0,1675.0,359.0,489.0,1246.0,1228.0,462.0,2386.0,2312.0,1872.0,1570.0,1415.0,1961.0,2955.0,2112.0,2026.0,2078.0,2014
Tempe city, Arizona,73000,Male,1339.0,4880.0,11779.0,8416.0,6515.0,8204.0,7371.0,1237.0,1648.0,1060.0,1454.0,766.0,5487.0,2740.0,3105.0,2675.0,5121.0,2072.0,2140.0,1307.0,5310.0,1566.0,3494.0,4101.0,2632.0,3530.0,3821.0,1229.0,3253.0,1924.0,3954.0,3689.0,2014
Tucson city, Arizona,77000,Male,3060.0,10809.0,17254.0,22748.0,21052.0,8303.0,19133.0,2057.0,3996.0,4919.0,3786.0,2639.0,12096.0,7649.0,7426.0,5398.0,10677.0,4554.0,8776.0,5746.0,10211.0,3765.0,10347.0,8995.0,7573.0,7993.0,6095.0,5612.0,6858.0,4432.0,6400.0,5269.0,2014
Yuma city, Arizona,85540,Male,1387.0,2692.0,6263.0,5260.0,2765.0,1228.0,1620.0,98.0,713.0,835.0,515.0,279.0,1255.0,857.0,1213.0,966.0,1458.0,1033.0,1126.0,1311.0,1952.0,548.0,1028.0,1656.0,2223.0,1879.0,1513.0,1185.0,808.0,857.0,1679.0,1823.0,2014
Fayetteville city, Arkansas,23290,Male,954.0,3096.0,5046.0,3036.0,3758.0,1946.0,3085.0,805.0,496.0,584.0,130.0,513.0,1102.0,940.0,411.0,764.0,3343.0,829.0,1096.0,757.0,1760.0,435.0,1934.0,1182.0,2078.0,575.0,564.0,1643.0,1022.0,1060.0,1399.0,2655.0,2014
Fort Smith city, Arkansas,24550,Male,393.0,2980.0,5677.0,6779.0,3292.0,168.0,621.0,0.0,494.0,90.0,290.0,247.0,1440.0,386.0,1044.0,637.0,1891.0,354.0,886.0,671.0,1670.0,1041.0,2057.0,1648.0,969.0,742.0,655.0,991.0,1509.0,561.0,1151.0,3224.0,2014
Jonesboro city, Arkansas,35710,Male,1338.0,2394.0,4266.0,4146.0,2261.0,0.0,721.0,438.0,34.0,271.0,406.0,357.0,1499.0,1071.0,840.0,430.0,1192.0,1112.0,232.0,641.0,1191.0,179.0,2042.0,1458.0,640.0,1021.0,723.0,606.0,1210.0,177.0,1057.0,2104.0,2014
Little Rock city, Arkansas,41000,Male,1500.0,3728.0,10264.0,8738.0,11053.0,2468.0,4528.0,150.0,680.0,873.0,997.0,844.0,1468.0,1940.0,1424.0,388.0,2676.0,656.0,2870.0,1301.0,3925.0,1362.0,3585.0,3323.0,3236.0,2758.0,2109.0,2505.0,3355.0,1852.0,2938.0,7096.0,2014
North Little Rock city, Arkansas,50450,Male,0.0,1839.0,1899.0,2444.0,5081.0,342.0,1234.0,42.0,315.0,311.0,424.0,0.0,554.0,1301.0,213.0,865.0,553.0,609.0,748.0,472.0,501.0,181.0,648.0,2026.0,1143.0,722.0,784.0,406.0,904.0,1001.0,1155.0,895.0,2014
Springdale city, Arkansas,66080,Male,302.0,2026.0,3068.0,3457.0,2465.0,1256.0,2564.0,697.0,334.0,846.0,1146.0,768.0,1176.0,968.0,712.0,592.0,938.0,419.0,812.0,1001.0,2306.0,663.0,2447.0,2284.0,1906.0,1523.0,568.0,686.0,876.0,234.0,1313.0,1088.0,2014
Alameda city, California,00562,Male,68.0,930.0,2280.0,2329.0,1812.0,1026.0,3030.0,1144.0,1127.0,2063.0,2368.0,512.0,745.0,637.0,556.0,749.0,674.0,586.0,392.0,407.0,404.0,157.0,1140.0,780.0,1038.0,1002.0,784.0,1663.0,763.0,1096.0,2714.0,6088.0,2014
Alhambra city, California,00884,Male,281.0,190.0,1792.0,3037.0,2039.0,752.0,5551.0,807.0,1299.0,1641.0,2789.0,343.0,692.0,486.0,725.0,1031.0,1416.0,768.0,1342.0,891.0,1766.0,485.0,1819.0,1248.0,1109.0,1655.0,499.0,1128.0,1426.0,910.0,2013.0,2121.0,2014
Anaheim city, California,02000,Male,1343.0,5200.0,8005.0,11698.0,13655.0,5502.0,16024.0,2772.0,5675.0,7774.0,8392.0,2563.0,2421.0,2545.0,4525.0,2504.0,5240.0,3652.0,5693.0,3440.0,4332.0,3272.0,8786.0,6588.0,5015.0,4906.0,3775.0,3577.0,5566.0,4484.0,6153.0,11244.0,2014
Antioch city, California,02252,Male,244.0,1267.0,1665.0,1136.0,1707.0,421.0,1799.0,553.0,810.0,4420.0,4782.0,3295.0,1430.0,990.0,2077.0,1211.0,1949.0,810.0,862.0,1027.0,1143.0,451.0,1287.0,2280.0,1013.0,1251.0,947.0,653.0,2137.0,731.0,2308.0,3535.0,2014
Apple Valley town, California,02364,Male,76.0,878.0,1787.0,1426.0,1741.0,411.0,1411.0,161.0,72.0,1778.0,1877.0,1889.0,689.0,1354.0,303.0,448.0,443.0,427.0,453.0,770.0,758.0,181.0,321.0,1331.0,794.0,996.0,804.0,572.0,772.0,1156.0,1514.0,1648.0,2014
Arden-Arcade CDP, California,02553,Male,652.0,1815.0,3174.0,3139.0,3754.0,1244.0,4132.0,167.0,347.0,713.0,848.0,301.0,1297.0,933.0,1197.0,1259.0,1343.0,913.0,1491.0,685.0,1112.0,491.0,943.0,2110.0,1564.0,1154.0,409.0,1108.0,1238.0,965.0,1965.0,2996.0,2014
Bakersfield city, California,03526,Male,1538.0,7605.0,12332.0,19136.0,12669.0,5205.0,8078.0,830.0,1811.0,4996.0,3821.0,2077.0,4835.0,3337.0,2509.0,1701.0,5819.0,2020.0,3005.0,2574.0,3992.0,2239.0,5041.0,6077.0,5072.0,3986.0,4030.0,5470.0,5666.0,6392.0,7615.0,11734.0,2014
Baldwin Park city, California,03666,Male,141.0,558.0,1925.0,2457.0,2454.0,1430.0,3543.0,674.0,1223.0,1220.0,1548.0,172.0,432.0,393.0,1222.0,674.0,690.0,739.0,952.0,1007.0,1211.0,595.0,2515.0,1309.0,1399.0,1498.0,424.0,745.0,1200.0,596.0,1269.0,532.0,2014
Bellflower city, California,04982,Male,206.0,763.0,2030.0,2590.0,2572.0,809.0,4114.0,461.0,1455.0,1704.0,1848.0,307.0,372.0,352.0,445.0,409.0,978.0,690.0,1281.0,666.0,1007.0,993.0,1658.0,2285.0,1256.0,1147.0,1365.0,927.0,1084.0,1068.0,1427.0,856.0,2014
Berkeley city, California,06000,Male,627.0,1673.0,4427.0,4100.0,2076.0,1555.0,3067.0,1000.0,1194.0,3061.0,1960.0,603.0,5204.0,1353.0,1913.0,910.0,1209.0,449.0,1097.0,796.0,1488.0,661.0,1533.0,1492.0,1593.0,1062.0,1095.0,1503.0,1310.0,1860.0,2358.0,6934.0,2014
Buena Park city, California,08786,Male,0.0,1018.0,2120.0,2320.0,3142.0,1531.0,5786.0,180.0,909.0,1480.0,2938.0,292.0,1452.0,516.0,888.0,709.0,1434.0,1247.0,1220.0,506.0,1120.0,640.0,1253.0,1212.0,1470.0,1072.0,1111.0,1538.0,1341.0,1454.0,1902.0,1964.0,2014
Burbank city, California,08954,Male,849.0,3681.0,3347.0,3664.0,4577.0,917.0,3179.0,201.0,1266.0,2415.0,2438.0,208.0,1687.0,968.0,1191.0,770.0,1135.0,875.0,1264.0,869.0,780.0,1025.0,1224.0,1343.0,1756.0,1380.0,882.0,1798.0,1883.0,2049.0,3285.0,5303.0,2014
Camarillo city, California,10046,Male,1078.0,1803.0,2338.0,2045.0,2434.0,1033.0,2285.0,392.0,239.0,899.0,757.0,720.0,379.0,584.0,574.0,344.0,412.0,509.0,318.0,116.0,1039.0,259.0,1378.0,652.0,585.0,679.0,477.0,904.0,1141.0,846.0,2270.0,4738.0,2014
Carlsbad city, California,11194,Male,635.0,1227.0,4617.0,3429.0,3719.0,989.0,2757.0,814.0,2900.0,3165.0,2683.0,1009.0,1359.0,573.0,1285.0,307.0,520.0,153.0,1082.0,664.0,1796.0,167.0,1008.0,939.0,786.0,595.0,671.0,1068.0,1669.0,2616.0,3777.0,12341.0,2014
Carmichael CDP, California,11390,Male,160.0,580.0,1012.0,2322.0,2212.0,1360.0,2173.0,641.0,329.0,841.0,524.0,476.0,463.0,486.0,763.0,458.0,599.0,49.0,514.0,147.0,500.0,793.0,1447.0,666.0,704.0,910.0,586.0,355.0,686.0,1213.0,1564.0,1901.0,2014
Carson city, California,11530,Male,945.0,1217.0,2836.0,4496.0,3172.0,1239.0,2728.0,488.0,377.0,1137.0,1148.0,287.0,1319.0,820.0,867.0,520.0,954.0,348.0,1393.0,1449.0,2416.0,366.0,952.0,1354.0,1581.0,1309.0,956.0,844.0,1145.0,1158.0,1539.0,2078.0,2014
Chico city, California,13014,Male,677.0,4413.0,6172.0,3090.0,1807.0,722.0,866.0,321.0,213.0,1027.0,1407.0,393.0,3357.0,2138.0,1717.0,1092.0,1637.0,756.0,1303.0,428.0,625.0,882.0,1583.0,1111.0,909.0,721.0,637.0,950.0,1233.0,880.0,2596.0,2386.0,2014
Chino city, California,13210,Male,109.0,2053.0,1088.0,2030.0,2643.0,1104.0,2350.0,734.0,766.0,1673.0,1870.0,1028.0,1843.0,707.0,874.0,792.0,987.0,791.0,437.0,623.0,727.0,672.0,1165.0,1292.0,1173.0,803.0,1195.0,946.0,1135.0,1172.0,2246.0,1714.0,2014
Chino Hills city, California,13214,Male,231.0,922.0,2010.0,920.0,2059.0,1295.0,2670.0,190.0,1165.0,3293.0,3284.0,1981.0,1805.0,741.0,866.0,504.0,653.0,954.0,756.0,213.0,870.0,508.0,466.0,644.0,1179.0,1383.0,897.0,353.0,1073.0,1676.0,3261.0,4532.0,2014
Chula Vista city, California,13392,Male,376.0,2884.0,4969.0,8942.0,11270.0,4198.0,12043.0,1613.0,1843.0,7039.0,3219.0,938.0,2537.0,2325.0,2734.0,2315.0,3502.0,1286.0,3031.0,1457.0,4056.0,1175.0,2346.0,4551.0,2147.0,4025.0,3114.0,2666.0,5027.0,4454.0,8894.0,6755.0,2014
Citrus Heights city, California,13588,Male,428.0,1080.0,1303.0,1927.0,4456.0,1243.0,3708.0,672.0,700.0,1411.0,1115.0,712.0,1295.0,733.0,969.0,266.0,415.0,532.0,603.0,986.0,1396.0,752.0,1695.0,1476.0,1482.0,1560.0,732.0,1108.0,1375.0,927.0,1953.0,1528.0,2014
Clovis city, California,14218,Male,699.0,1757.0,3019.0,4537.0,4888.0,1521.0,2285.0,565.0,434.0,1213.0,1236.0,516.0,1114.0,582.0,726.0,386.0,1916.0,269.0,1154.0,392.0,1647.0,536.0,1372.0,1507.0,1200.0,976.0,586.0,1308.0,1775.0,1958.0,2305.0,4170.0,2014
Compton city, California,15044,Male,29.0,879.0,2154.0,3259.0,2636.0,1428.0,4618.0,671.0,979.0,2521.0,1080.0,593.0,1784.0,674.0,837.0,806.0,1025.0,832.0,1591.0,2059.0,932.0,585.0,2078.0,1891.0,1743.0,1520.0,1412.0,875.0,1049.0,1102.0,771.0,308.0,2014
Concord city, California,16000,Male,805.0,2133.0,3398.0,4520.0,4052.0,1372.0,4498.0,798.0,1703.0,3877.0,4335.0,1168.0,1221.0,1664.0,1983.0,741.0,1202.0,1666.0,1189.0,1341.0,1760.0,805.0,2391.0,1883.0,1552.0,1383.0,1136.0,1941.0,2989.0,1980.0,2772.0,6117.0,2014
Corona city, California,16350,Male,0.0,1716.0,4451.0,4240.0,2721.0,744.0,4291.0,1039.0,2647.0,6802.0,8979.0,1838.0,1533.0,837.0,1173.0,1037.0,2536.0,938.0,1922.0,1160.0,1635.0,1576.0,2904.0,2208.0,1527.0,2134.0,2294.0,1436.0,3277.0,2200.0,5498.0,6911.0,2014
Costa Mesa city, California,16532,Male,370.0,2706.0,5055.0,6521.0,4897.0,1432.0,6146.0,279.0,570.0,1538.0,1426.0,1113.0,1451.0,1249.0,1644.0,436.0,1895.0,1343.0,1581.0,634.0,2378.0,879.0,2379.0,2774.0,1463.0,2382.0,890.0,1411.0,2283.0,1560.0,3259.0,4990.0,2014
Daly City city, California,17918,Male,0.0,1164.0,3822.0,2746.0,5451.0,1111.0,4649.0,670.0,1099.0,2938.0,2752.0,633.0,1256.0,683.0,873.0,351.0,1416.0,541.0,712.0,371.0,1709.0,1678.0,1885.0,2329.0,1675.0,1707.0,1469.0,2882.0,2342.0,1841.0,1781.0,2267.0,2014
Davis city, California,18100,Male,252.0,2354.0,3066.0,3728.0,1335.0,822.0,1482.0,165.0,722.0,1261.0,353.0,596.0,2610.0,993.0,1362.0,715.0,569.0,1018.0,186.0,357.0,414.0,203.0,558.0,969.0,459.0,799.0,688.0,791.0,1175.0,827.0,1384.0,3761.0,2014
Downey city, California,19766,Male,132.0,1927.0,2206.0,2744.0,3613.0,1975.0,5312.0,915.0,2052.0,4351.0,1802.0,874.0,972.0,909.0,846.0,738.0,2683.0,1428.0,1140.0,1012.0,2051.0,1079.0,1114.0,2313.0,1898.0,2152.0,1012.0,1643.0,1794.0,1880.0,2413.0,1569.0,2014
East Los Angeles CDP, California,20802,Male,728.0,1083.0,2871.0,2664.0,3838.0,2785.0,7152.0,297.0,1833.0,2128.0,1662.0,709.0,1042.0,781.0,1171.0,1462.0,2442.0,1671.0,1862.0,2058.0,2593.0,1533.0,2875.0,2298.0,1315.0,1441.0,772.0,1161.0,748.0,589.0,1608.0,839.0,2014
El Cajon city, California,21712,Male,239.0,1426.0,2191.0,3977.0,4946.0,2676.0,4222.0,719.0,1188.0,1928.0,925.0,473.0,1204.0,916.0,1542.0,1221.0,1964.0,1673.0,931.0,928.0,1361.0,823.0,1680.0,1310.0,1193.0,2018.0,1387.0,794.0,1935.0,1456.0,1691.0,1907.0,2014
Elk Grove city, California,22020,Male,44.0,2224.0,1826.0,3234.0,4760.0,3452.0,7789.0,1101.0,2473.0,3535.0,1158.0,2891.0,1787.0,1233.0,1092.0,954.0,1593.0,461.0,840.0,1100.0,1634.0,426.0,1595.0,1782.0,1968.0,2109.0,797.0,2611.0,3203.0,3539.0,5958.0,5980.0,2014
El Monte city, California,22230,Male,161.0,367.0,2356.0,2212.0,3486.0,1305.0,5967.0,203.0,1225.0,6414.0,2779.0,391.0,532.0,545.0,937.0,666.0,873.0,1268.0,2545.0,2855.0,3178.0,2103.0,3107.0,1444.0,1590.0,1572.0,1241.0,693.0,1108.0,910.0,694.0,1003.0,2014
Escondido city, California,22804,Male,315.0,2503.0,3606.0,7212.0,2956.0,2883.0,5979.0,2116.0,1557.0,3895.0,1268.0,716.0,2042.0,1192.0,1908.0,1037.0,1598.0,1964.0,2282.0,1311.0,2742.0,1739.0,3877.0,2630.0,2403.0,2272.0,1324.0,2506.0,1560.0,1239.0,1563.0,3310.0,2014
Fairfield city, California,23182,Male,370.0,2158.0,2173.0,3260.0,2781.0,1404.0,3122.0,570.0,1314.0,3218.0,2761.0,2014.0,1907.0,1593.0,896.0,669.0,776.0,1004.0,776.0,547.0,879.0,797.0,1233.0,1400.0,1461.0,1987.0,1168.0,1363.0,2376.0,1491.0,3029.0,3793.0,2014
Folsom city, California,24638,Male,235.0,2774.0,2750.0,2012.0,1424.0,756.0,2411.0,813.0,488.0,1345.0,460.0,474.0,595.0,1255.0,669.0,284.0,319.0,162.0,176.0,14.0,262.0,403.0,417.0,409.0,360.0,574.0,538.0,866.0,913.0,1208.0,2117.0,6950.0,2014
Fontana city, California,24680,Male,803.0,1932.0,4340.0,4916.0,9179.0,2752.0,7022.0,1123.0,2035.0,3642.0,4895.0,3143.0,2928.0,1561.0,2115.0,1378.0,2152.0,1560.0,2660.0,1250.0,2641.0,887.0,4885.0,3087.0,3022.0,3181.0,2217.0,2306.0,3212.0,3222.0,3327.0,4756.0,2014
Fremont city, California,26000,Male,749.0,2516.0,4503.0,3987.0,4789.0,2292.0,7359.0,1784.0,4402.0,7818.0,6179.0,1751.0,2016.0,876.0,1737.0,849.0,2161.0,681.0,1068.0,1226.0,1496.0,1319.0,2425.0,3464.0,2844.0,3366.0,2276.0,3235.0,2956.0,3012.0,8049.0,24068.0,2014
Fresno city, California,27000,Male,1909.0,9186.0,15542.0,26649.0,19324.0,5231.0,8815.0,965.0,1851.0,4812.0,3847.0,1994.0,6512.0,4236.0,6899.0,4679.0,8732.0,4185.0,7563.0,4458.0,6584.0,3317.0,8120.0,8878.0,5312.0,5758.0,4146.0,5332.0,5883.0,5323.0,6000.0,7397.0,2014
Fullerton city, California,28000,Male,377.0,2621.0,3776.0,5382.0,5222.0,1629.0,3938.0,815.0,1051.0,3521.0,3739.0,1027.0,2068.0,1101.0,1529.0,1053.0,1131.0,1454.0,1736.0,846.0,2879.0,499.0,1468.0,1833.0,1946.0,1859.0,2021.0,1567.0,2151.0,2397.0,3058.0,4818.0,2014
