City Name,Gender,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,State Code,Zip Code,Year,State,City
Yuma city,Male,1032.0,1579.0,1148.0,725.0,1282.0,988.0,1043.0,855.0,2058.0,1065.0,1967.0,2138.0,1698.0,1787.0,504.0,1339.0,1606.0,580.0,1886.0,1415.0,04,85540,2013, Arizona,
Fayetteville city,Male,1806.0,865.0,1671.0,857.0,1640.0,1135.0,1357.0,919.0,912.0,373.0,1382.0,1047.0,986.0,534.0,1023.0,759.0,972.0,1125.0,1441.0,2590.0,05,23290,2013, Arkansas,
Fort Smith city,Male,1442.0,534.0,1656.0,263.0,1031.0,572.0,1148.0,1682.0,1672.0,236.0,1453.0,1551.0,1047.0,435.0,759.0,1707.0,1105.0,507.0,1391.0,1673.0,05,24550,2013, Arkansas,
Jonesboro city,Male,1516.0,1318.0,1322.0,445.0,903.0,250.0,927.0,41.0,810.0,502.0,2546.0,1031.0,1041.0,173.0,398.0,1161.0,672.0,679.0,1597.0,1091.0,05,35710,2013, Arkansas,
Little Rock city,Male,2411.0,2798.0,1854.0,1864.0,2820.0,726.0,1712.0,1974.0,3143.0,1638.0,3323.0,4016.0,1592.0,3487.0,2418.0,3117.0,2375.0,1465.0,2992.0,7295.0,05,41000,2013, Arkansas,
North Little Rock city,Male,1239.0,934.0,148.0,518.0,867.0,434.0,643.0,212.0,883.0,896.0,740.0,1691.0,854.0,525.0,267.0,965.0,838.0,897.0,1046.0,632.0,05,50450,2013, Arkansas,
Springdale city,Male,569.0,613.0,852.0,736.0,1720.0,643.0,1243.0,967.0,2027.0,314.0,2547.0,1448.0,888.0,1679.0,416.0,842.0,2137.0,518.0,1206.0,844.0,05,66080,2013, Arkansas,
Alameda city,Male,951.0,683.0,912.0,639.0,828.0,307.0,426.0,431.0,953.0,268.0,929.0,1569.0,1143.0,993.0,366.0,756.0,1320.0,700.0,2113.0,5478.0,06,00562,2013, California,
Alhambra city,Male,1095.0,637.0,862.0,547.0,983.0,581.0,951.0,440.0,1146.0,2017.0,1986.0,1159.0,1292.0,1137.0,497.0,1099.0,1129.0,1229.0,1729.0,2809.0,06,00884,2013, California,
Anaheim city,Male,6075.0,3110.0,3633.0,3209.0,4473.0,2375.0,5926.0,3949.0,6471.0,3413.0,6057.0,6954.0,4887.0,3685.0,3891.0,5926.0,4695.0,3688.0,6631.0,8658.0,06,02000,2013, California,
Antioch city,Male,841.0,1081.0,941.0,788.0,1465.0,819.0,1633.0,1179.0,1202.0,84.0,1318.0,2041.0,1463.0,808.0,769.0,971.0,1006.0,848.0,2906.0,2501.0,06,02252,2013, California,
Apple Valley town,Male,1401.0,758.0,985.0,659.0,298.0,132.0,586.0,211.0,578.0,91.0,300.0,1145.0,811.0,557.0,604.0,710.0,1508.0,1434.0,768.0,1411.0,06,02364,2013, California,
Arden-Arcade CDP,Male,2331.0,616.0,620.0,206.0,1673.0,306.0,920.0,287.0,829.0,424.0,656.0,1105.0,977.0,1686.0,1149.0,1113.0,1305.0,1269.0,1502.0,2804.0,06,02553,2013, California,
Bakersfield city,Male,3817.0,3292.0,2345.0,2961.0,6082.0,3613.0,3527.0,2508.0,4684.0,2470.0,5015.0,6102.0,4306.0,3954.0,3088.0,4316.0,5690.0,4373.0,9132.0,9595.0,06,03526,2013, California,
Baldwin Park city,Male,701.0,576.0,1330.0,852.0,823.0,1213.0,1189.0,1190.0,2054.0,760.0,1681.0,1598.0,792.0,1527.0,568.0,703.0,1174.0,717.0,625.0,332.0,06,03666,2013, California,
Bellflower city,Male,785.0,399.0,796.0,922.0,899.0,620.0,836.0,691.0,813.0,593.0,2234.0,1971.0,1403.0,883.0,847.0,1490.0,1048.0,1572.0,1200.0,1244.0,06,04982,2013, California,
Berkeley city,Male,2213.0,1979.0,1783.0,1418.0,1387.0,644.0,1769.0,829.0,1470.0,404.0,1440.0,1195.0,1634.0,1605.0,1330.0,1990.0,1644.0,1299.0,2242.0,6794.0,06,06000,2013, California,
Buena Park city,Male,1001.0,777.0,716.0,522.0,663.0,390.0,1099.0,545.0,1420.0,405.0,1006.0,1315.0,1241.0,1205.0,1266.0,952.0,1579.0,783.0,2226.0,3204.0,06,08786,2013, California,
Burbank city,Male,1946.0,549.0,791.0,1008.0,1411.0,501.0,1213.0,850.0,1174.0,1315.0,1503.0,1877.0,1291.0,1263.0,485.0,1558.0,1714.0,1576.0,3138.0,5533.0,06,08954,2013, California,
Camarillo city,Male,873.0,227.0,434.0,292.0,395.0,604.0,325.0,397.0,725.0,71.0,491.0,708.0,948.0,952.0,312.0,1245.0,1551.0,1695.0,1850.0,4807.0,06,10046,2013, California,
Carlsbad city,Male,1364.0,1960.0,1253.0,408.0,996.0,332.0,774.0,240.0,328.0,188.0,1597.0,1263.0,783.0,1606.0,1579.0,1619.0,1552.0,1367.0,2693.0,9589.0,06,11194,2013, California,
Carmichael CDP,Male,570.0,625.0,609.0,826.0,468.0,486.0,544.0,368.0,1220.0,385.0,599.0,1454.0,570.0,920.0,781.0,709.0,1045.0,748.0,755.0,2404.0,06,11390,2013, California,
Carson city,Male,1061.0,953.0,1090.0,814.0,1545.0,562.0,1143.0,1258.0,1123.0,457.0,1109.0,1891.0,1285.0,1301.0,997.0,739.0,2223.0,992.0,2022.0,1404.0,06,11530,2013, California,
Chico city,Male,2109.0,1314.0,2038.0,960.0,468.0,586.0,858.0,594.0,1467.0,425.0,1855.0,1074.0,892.0,1090.0,686.0,1572.0,1644.0,1199.0,1457.0,2407.0,06,13014,2013, California,
Chino city,Male,1795.0,1429.0,676.0,719.0,1292.0,359.0,675.0,599.0,562.0,1020.0,1328.0,1251.0,1030.0,1320.0,469.0,709.0,1484.0,1131.0,1742.0,2078.0,06,13210,2013, California,
Chino Hills city,Male,789.0,503.0,755.0,519.0,866.0,212.0,373.0,378.0,500.0,843.0,1044.0,1110.0,1039.0,1265.0,748.0,916.0,752.0,2134.0,3329.0,3812.0,06,13214,2013, California,
Chula Vista city,Male,2125.0,2250.0,1848.0,2400.0,2062.0,1147.0,1709.0,1425.0,4981.0,2474.0,4882.0,3983.0,3410.0,3009.0,3488.0,2070.0,4687.0,3002.0,4793.0,7013.0,06,13392,2013, California,
Citrus Heights city,Male,1665.0,1006.0,896.0,674.0,1974.0,304.0,1193.0,796.0,1182.0,765.0,1703.0,1747.0,910.0,769.0,1151.0,878.0,1230.0,1470.0,1335.0,1406.0,06,13588,2013, California,
Clovis city,Male,1133.0,959.0,991.0,149.0,1589.0,649.0,1386.0,585.0,1128.0,700.0,974.0,2239.0,731.0,1136.0,1219.0,1557.0,2226.0,869.0,2543.0,3023.0,06,14218,2013, California,
Compton city,Male,1573.0,738.0,1131.0,566.0,1092.0,574.0,1591.0,1398.0,1647.0,780.0,2226.0,998.0,1415.0,594.0,643.0,569.0,1564.0,496.0,756.0,300.0,06,15044,2013, California,
Concord city,Male,1195.0,898.0,666.0,1231.0,1861.0,782.0,1799.0,973.0,2168.0,721.0,2468.0,1860.0,1576.0,1691.0,761.0,1398.0,1553.0,2053.0,3717.0,5103.0,06,16000,2013, California,
Corona city,Male,1406.0,1106.0,1014.0,1134.0,1892.0,1385.0,1290.0,2164.0,1884.0,1086.0,2080.0,2711.0,1903.0,2440.0,1787.0,3034.0,2565.0,2916.0,4294.0,5915.0,06,16350,2013, California,
Costa Mesa city,Male,1466.0,2021.0,1860.0,271.0,2724.0,460.0,1557.0,218.0,2054.0,544.0,1708.0,2583.0,2048.0,2719.0,958.0,2006.0,2007.0,1203.0,4149.0,5788.0,06,16532,2013, California,
Daly City city,Male,1498.0,1120.0,1557.0,1097.0,2420.0,669.0,1559.0,554.0,2302.0,551.0,1833.0,1223.0,1752.0,2770.0,1963.0,1535.0,2461.0,1929.0,2619.0,2239.0,06,17918,2013, California,
Davis city,Male,2148.0,990.0,1700.0,918.0,491.0,539.0,403.0,626.0,1143.0,190.0,668.0,1337.0,692.0,591.0,318.0,285.0,796.0,1147.0,1402.0,3587.0,06,18100,2013, California,
Downey city,Male,776.0,994.0,698.0,868.0,989.0,1259.0,1574.0,1507.0,990.0,867.0,3163.0,2574.0,1840.0,1716.0,1508.0,2311.0,2129.0,935.0,1952.0,2027.0,06,19766,2013, California,
East Los Angeles CDP,Male,832.0,672.0,1032.0,882.0,3512.0,1950.0,3926.0,1546.0,4406.0,1462.0,2399.0,2644.0,1615.0,2253.0,1029.0,1326.0,1542.0,487.0,561.0,436.0,06,20802,2013, California,
El Cajon city,Male,835.0,1955.0,1381.0,1159.0,3034.0,1165.0,1732.0,865.0,2164.0,1192.0,1512.0,1698.0,926.0,1082.0,1620.0,1066.0,1014.0,727.0,791.0,1956.0,06,21712,2013, California,
Elk Grove city,Male,1457.0,1677.0,960.0,773.0,2463.0,331.0,1587.0,711.0,926.0,797.0,799.0,2027.0,2936.0,2669.0,2505.0,1523.0,3410.0,2691.0,4045.0,4363.0,06,22020,2013, California,
El Monte city,Male,711.0,806.0,609.0,1125.0,1445.0,1330.0,3264.0,2098.0,2593.0,1481.0,3054.0,2555.0,877.0,1595.0,618.0,823.0,1088.0,518.0,789.0,1029.0,06,22230,2013, California,
Escondido city,Male,1388.0,1607.0,670.0,1401.0,2300.0,1144.0,2909.0,1076.0,2336.0,2742.0,4140.0,3604.0,1463.0,1639.0,1521.0,1838.0,1589.0,1047.0,2084.0,3097.0,06,22804,2013, California,
Fairfield city,Male,2047.0,490.0,1365.0,226.0,2334.0,391.0,838.0,1229.0,1708.0,801.0,1845.0,1535.0,967.0,1448.0,1657.0,2058.0,1807.0,1232.0,2673.0,3020.0,06,23182,2013, California,
Folsom city,Male,675.0,158.0,215.0,298.0,449.0,76.0,87.0,92.0,313.0,352.0,291.0,706.0,560.0,801.0,319.0,480.0,1582.0,1092.0,3758.0,5819.0,06,24638,2013, California,
Fontana city,Male,1810.0,1924.0,3777.0,1814.0,2862.0,2146.0,1915.0,2116.0,2303.0,1286.0,2970.0,4032.0,3184.0,4642.0,2414.0,2365.0,3176.0,2570.0,3907.0,2466.0,06,24680,2013, California,
Fremont city,Male,1720.0,1272.0,1297.0,924.0,1861.0,967.0,885.0,1226.0,1337.0,1639.0,2466.0,2925.0,1355.0,3015.0,2059.0,2391.0,2801.0,3240.0,7957.0,23933.0,06,26000,2013, California,
Fresno city,Male,7841.0,5491.0,6051.0,5545.0,6987.0,3276.0,6951.0,5339.0,6093.0,3444.0,6644.0,7284.0,6307.0,4724.0,4674.0,5652.0,6919.0,4623.0,5739.0,6709.0,06,27000,2013, California,
Fullerton city,Male,1210.0,1464.0,1236.0,902.0,1200.0,900.0,2329.0,1408.0,2811.0,2149.0,2890.0,1544.0,2280.0,1313.0,1165.0,2131.0,2649.0,1689.0,2566.0,4816.0,06,28000,2013, California,
Garden Grove city,Male,1653.0,1807.0,1284.0,1452.0,3380.0,2422.0,2928.0,2036.0,2868.0,1280.0,3052.0,4178.0,2546.0,3548.0,2481.0,2316.0,2797.0,1891.0,2932.0,2867.0,06,29000,2013, California,
Glendale city,Male,2489.0,1769.0,2071.0,1633.0,2992.0,1885.0,2124.0,1803.0,2830.0,1088.0,3232.0,2789.0,2109.0,2150.0,1354.0,2130.0,3143.0,2895.0,3797.0,7329.0,06,30000,2013, California,
Hawthorne city,Male,1695.0,443.0,1264.0,1139.0,791.0,1128.0,1351.0,1336.0,2165.0,1112.0,2014.0,1546.0,856.0,1594.0,537.0,1291.0,1572.0,869.0,671.0,1277.0,06,32548,2013, California,
Hayward city,Male,1243.0,1299.0,1872.0,1173.0,2226.0,1243.0,1763.0,1938.0,2741.0,1470.0,2398.0,3729.0,2099.0,3614.0,1639.0,2065.0,2681.0,1637.0,2596.0,3613.0,06,33000,2013, California,
Hemet city,Male,1660.0,325.0,1209.0,731.0,539.0,1148.0,400.0,540.0,1017.0,849.0,1578.0,943.0,607.0,841.0,816.0,680.0,594.0,502.0,594.0,775.0,06,33182,2013, California,
Hesperia city,Male,557.0,466.0,849.0,1070.0,1233.0,891.0,660.0,586.0,993.0,759.0,788.0,1390.0,1111.0,1134.0,1169.0,818.0,1299.0,1092.0,1418.0,823.0,06,33434,2013, California,
Huntington Beach city,Male,2099.0,1489.0,1039.0,732.0,2357.0,864.0,2101.0,1181.0,2395.0,855.0,2887.0,2662.0,2225.0,3071.0,1566.0,2973.0,3538.0,3269.0,8230.0,14131.0,06,36000,2013, California,
Indio city,Male,1178.0,430.0,569.0,568.0,949.0,326.0,1679.0,520.0,1652.0,1035.0,1168.0,1862.0,1390.0,1205.0,661.0,1004.0,1297.0,1118.0,837.0,1085.0,06,36448,2013, California,
Inglewood city,Male,1442.0,818.0,884.0,940.0,2162.0,1801.0,1932.0,1055.0,1400.0,1012.0,2323.0,2275.0,1699.0,1129.0,845.0,1384.0,1797.0,914.0,856.0,730.0,06,36546,2013, California,
Irvine city,Male,4772.0,1478.0,1535.0,839.0,2253.0,593.0,2143.0,1032.0,1722.0,626.0,2843.0,4026.0,1766.0,2911.0,1525.0,3025.0,4195.0,3093.0,7810.0,21557.0,06,36770,2013, California,
Jurupa Valley city,Male,2231.0,1041.0,1627.0,587.0,1178.0,1142.0,531.0,567.0,1595.0,593.0,2236.0,2613.0,916.0,1365.0,1629.0,826.0,1748.0,571.0,1343.0,1389.0,06,37692,2013, California,
Lake Forest city,Male,845.0,275.0,465.0,246.0,695.0,782.0,234.0,388.0,1257.0,717.0,1638.0,2637.0,1160.0,579.0,753.0,814.0,2022.0,1043.0,2022.0,5826.0,06,39496,2013, California,
Lakewood city,Male,797.0,606.0,635.0,699.0,756.0,600.0,1014.0,224.0,661.0,755.0,1061.0,839.0,1192.0,816.0,529.0,875.0,1578.0,1527.0,2821.0,1644.0,06,39892,2013, California,
Lancaster city,Male,1486.0,611.0,877.0,500.0,788.0,520.0,1087.0,1130.0,1302.0,1242.0,1516.0,4156.0,1781.0,2962.0,1372.0,3041.0,2167.0,2209.0,2604.0,2066.0,06,40130,2013, California,
Livermore city,Male,569.0,820.0,667.0,327.0,1164.0,143.0,585.0,283.0,464.0,551.0,1496.0,1327.0,551.0,1204.0,609.0,697.0,1122.0,1517.0,3305.0,6991.0,06,41992,2013, California,
Long Beach city,Male,5506.0,4721.0,3867.0,3246.0,5977.0,3713.0,5483.0,4255.0,8085.0,4034.0,7963.0,8517.0,5488.0,7645.0,4528.0,5539.0,9350.0,6735.0,10042.0,13723.0,06,43000,2013, California,
Los Angeles city,Male,56374.0,36193.0,45177.0,37032.0,66594.0,47380.0,83338.0,42860.0,62803.0,39728.0,68374.0,63318.0,52567.0,50523.0,35850.0,42431.0,52440.0,39547.0,65543.0,129007.0,06,44000,2013, California,
Lynwood city,Male,271.0,568.0,408.0,391.0,941.0,913.0,1005.0,1430.0,1782.0,775.0,1433.0,1191.0,1098.0,417.0,539.0,496.0,784.0,367.0,138.0,296.0,06,44574,2013, California,
Manteca city,Male,419.0,473.0,763.0,484.0,512.0,168.0,892.0,501.0,1386.0,511.0,642.0,1257.0,837.0,746.0,1274.0,875.0,1597.0,1027.0,1856.0,2065.0,06,45484,2013, California,
Menifee city,Male,1130.0,704.0,568.0,547.0,1403.0,898.0,981.0,593.0,713.0,306.0,1198.0,1101.0,495.0,1459.0,601.0,959.0,1296.0,912.0,2588.0,1913.0,06,46842,2013, California,
Merced city,Male,1049.0,692.0,891.0,1238.0,1120.0,1082.0,873.0,222.0,951.0,597.0,676.0,1119.0,806.0,950.0,563.0,253.0,760.0,515.0,538.0,725.0,06,46898,2013, California,
Milpitas city,Male,1188.0,350.0,383.0,233.0,767.0,503.0,630.0,56.0,708.0,653.0,982.0,832.0,739.0,570.0,594.0,787.0,2064.0,626.0,1413.0,5033.0,06,47766,2013, California,
Mission Viejo city,Male,1053.0,602.0,1172.0,694.0,808.0,244.0,660.0,808.0,905.0,144.0,893.0,840.0,677.0,978.0,1186.0,1003.0,1643.0,2636.0,3362.0,8420.0,06,48256,2013, California,
Modesto city,Male,3003.0,3082.0,2004.0,2292.0,3023.0,1824.0,1505.0,1239.0,2553.0,938.0,2919.0,2366.0,1983.0,3075.0,2754.0,2678.0,3701.0,3291.0,3254.0,4106.0,06,48354,2013, California,
Moreno Valley city,Male,1850.0,2467.0,1841.0,1022.0,2987.0,1352.0,3481.0,1219.0,2435.0,1944.0,3594.0,5243.0,2804.0,3069.0,1345.0,2518.0,3806.0,1881.0,2001.0,1718.0,06,49270,2013, California,
Mountain View city,Male,798.0,352.0,316.0,380.0,709.0,157.0,555.0,120.0,332.0,164.0,962.0,1192.0,1107.0,779.0,819.0,898.0,1133.0,1101.0,2494.0,11991.0,06,49670,2013, California,
Murrieta city,Male,1404.0,673.0,489.0,885.0,1336.0,202.0,575.0,1295.0,1839.0,506.0,655.0,813.0,826.0,843.0,1637.0,1793.0,2004.0,2561.0,3761.0,3894.0,06,50076,2013, California,
Napa city,Male,1478.0,722.0,1103.0,120.0,1083.0,700.0,1348.0,773.0,1047.0,1220.0,2184.0,1441.0,714.0,1066.0,1094.0,1571.0,1311.0,936.0,1837.0,2400.0,06,50258,2013, California,
Newport Beach city,Male,1104.0,446.0,152.0,287.0,1036.0,264.0,48.0,100.0,618.0,100.0,285.0,853.0,641.0,1184.0,935.0,1154.0,2020.0,799.0,2713.0,9918.0,06,51182,2013, California,
Norwalk city,Male,1044.0,1102.0,1057.0,421.0,926.0,514.0,1866.0,1242.0,1193.0,1368.0,2073.0,2253.0,1232.0,1787.0,1384.0,886.0,2387.0,1776.0,1495.0,1031.0,06,52526,2013, California,
Oakland city,Male,6097.0,4360.0,5031.0,4702.0,5907.0,2861.0,5592.0,4193.0,6797.0,3047.0,6212.0,6726.0,5060.0,5893.0,4719.0,5549.0,6929.0,4298.0,7204.0,14682.0,06,53000,2013, California,
Oceanside city,Male,1652.0,969.0,888.0,764.0,1514.0,839.0,1975.0,1689.0,2267.0,1687.0,4166.0,2687.0,2344.0,3057.0,2568.0,1892.0,2771.0,1761.0,3075.0,4713.0,06,53322,2013, California,
Ontario city,Male,1592.0,1072.0,1279.0,1545.0,2550.0,1771.0,2838.0,1320.0,1913.0,1951.0,3402.0,1874.0,2773.0,2150.0,2095.0,1982.0,2431.0,2121.0,2943.0,2148.0,06,53896,2013, California,
Orange city,Male,1780.0,1236.0,1577.0,760.0,1672.0,1187.0,2215.0,1627.0,1761.0,1052.0,1925.0,2452.0,2569.0,1592.0,1353.0,1900.0,2651.0,1736.0,3621.0,6486.0,06,53980,2013, California,
Oxnard city,Male,2637.0,2075.0,2870.0,2303.0,3964.0,1664.0,5054.0,3505.0,4773.0,1644.0,4213.0,5375.0,3158.0,2226.0,1987.0,2164.0,2390.0,2346.0,2846.0,2970.0,06,54652,2013, California,
Palmdale city,Male,1439.0,1210.0,1335.0,916.0,1509.0,953.0,2049.0,573.0,1549.0,1297.0,2498.0,2482.0,2184.0,1717.0,1192.0,2295.0,2953.0,1887.0,2837.0,3645.0,06,55156,2013, California,
Palo Alto city,Male,955.0,434.0,113.0,164.0,186.0,122.0,340.0,532.0,401.0,2.0,140.0,738.0,665.0,514.0,510.0,835.0,595.0,257.0,1551.0,9591.0,06,55282,2013, California,
Pasadena city,Male,1794.0,874.0,746.0,730.0,1910.0,978.0,1323.0,899.0,1957.0,1500.0,2205.0,2494.0,1227.0,1140.0,1227.0,2183.0,2710.0,1856.0,3186.0,8483.0,06,56000,2013, California,
Perris city,Male,797.0,1310.0,499.0,375.0,533.0,1079.0,635.0,755.0,491.0,508.0,1528.0,1234.0,1453.0,882.0,829.0,1095.0,1237.0,698.0,1122.0,357.0,06,56700,2013, California,
Pittsburg city,Male,679.0,375.0,592.0,894.0,658.0,933.0,562.0,818.0,835.0,248.0,821.0,1268.0,851.0,1413.0,1420.0,785.0,1597.0,1115.0,1135.0,1154.0,06,57456,2013, California,
Pleasanton city,Male,1084.0,1100.0,441.0,340.0,431.0,424.0,407.0,0.0,402.0,133.0,404.0,425.0,594.0,581.0,389.0,197.0,675.0,784.0,2035.0,10096.0,06,57792,2013, California,
Pomona city,Male,2878.0,1890.0,1263.0,1945.0,2544.0,1465.0,2571.0,1458.0,2674.0,1924.0,2701.0,2357.0,2441.0,1405.0,2201.0,2078.0,2860.0,1860.0,1759.0,1084.0,06,58072,2013, California,
Rancho Cordova city,Male,941.0,409.0,761.0,589.0,1211.0,278.0,832.0,805.0,525.0,289.0,881.0,935.0,1506.0,408.0,601.0,1184.0,1234.0,917.0,984.0,887.0,06,59444,2013, California,
Rancho Cucamonga city,Male,2434.0,1183.0,2176.0,1317.0,1533.0,588.0,1487.0,1520.0,1717.0,999.0,1733.0,1674.0,1637.0,2171.0,1494.0,1833.0,2958.0,3537.0,6154.0,9428.0,06,59451,2013, California,
Redding city,Male,1886.0,564.0,917.0,602.0,968.0,270.0,1236.0,393.0,697.0,401.0,1503.0,1065.0,835.0,1211.0,1239.0,941.0,927.0,1012.0,1969.0,1198.0,06,59920,2013, California,
Redlands city,Male,879.0,283.0,796.0,466.0,190.0,112.0,317.0,166.0,1112.0,375.0,809.0,818.0,756.0,787.0,464.0,866.0,1061.0,1188.0,1950.0,2604.0,06,59962,2013, California,
Redondo Beach city,Male,319.0,200.0,920.0,79.0,832.0,285.0,675.0,223.0,1153.0,200.0,310.0,604.0,413.0,569.0,995.0,1223.0,1083.0,897.0,3590.0,6103.0,06,60018,2013, California,
